Phrases;Type (Maxime)
Ou est-ce que tu travaillais avant d'être avec nous ici ?;B1
Cette voiture ressemble a ma voiture.;A1
Elle est plus agee que moi.;A1
Est-ce que ton mari est aussi de Boston?;A1
Je suis allergique aux fruits de mer.;A2
Je ne me sens pas bien.;A1
As-tu besoin de quelque chose?;A1
Je ne me le suis jamais demande.;A2
C'est une question de point de vue.;A2
De mes fenêtres, je vois la Seine qui coule, le long de mon jardin, derriere la route, presque chez moi, la grande et large Seine qui va de Rouen au Havre, couverte de bateaux qui passent.;B2
"J’ai un peu de fievre depuis quelques jours ; je me sens souffrant, ou plutôt je me sens triste.";B2
Tout ce qui nous entoure, tout ce que nous voyons sans le regarder, tout ce que nous frôlons sans le connaître, tout ce que nous touchons sans le palper, tout ce que nous rencontrons sans le distinguer, a sur nous, sur nos organes et, par eux, sur nos idees, sur notre cœur lui-même, des effets rapides, surprenants et inexplicables.;C2
Je viens d’aller consulter un medecin, car je ne pouvais plus dormir.;B1
Vers dix heures, je monte dans ma chambre.;A2
Et soudain, je m’eveille, affole, couvert de sueur.;B1
Apres cette crise, qui se renouvelle toutes les nuits, je dors enfin, avec calme, jusqu’a l’aurore;B2
Un frisson me saisit soudain, non pas un frisson de froid, mais un etrange frisson d’angoisse.;B2
La mer etait basse, comme la veille au soir, et je regardais se dresser devant moi, a mesure que j’approchais d’elle, la surprenante abbaye.;B2
Apres plusieurs heures de marche, j’atteignis l’enorme bloc de pierre qui porte la petite cite dominee par la grande eglise.;B2
Et le moine me conta des histoires, toutes les vieilles histoires de ce lieu, des legendes, toujours des legendes.;B2
Je me tus devant ce simple raisonnement.;B1
Je le contemplais avec des yeux fixes, cherchant a deviner.;B1
Je viens de faire des epreuves surprenantes.;B1
Le 8 juillet, j’ai supprime l’eau et le lait.;A2
L’invincible sommeil m’a saisi, suivi bientôt de l’atroce reveil.;B2
Oui, je suis a Paris depuis vingt jours a peine.;A1
J’entre aux gardes demain, dans les Cadets;B2
Tout le bel air !;B1
Tiens, monsieur de Corneille est arrive de Rouen.;A1
La dame ne vient pas.;A1
Je retourne a mon vice !;A2
Je ne suis qu’un bon soldat timide.;B1
Monsieur avez-vous vu monsieur de Cyrano ?;A1
Taisez-vous, Mecene que vous êtes !;A2
Vous payez en gateaux vos billets de theatre !;A2
Votre place, aujourd’hui, la, voyons, entre nous, vous a coûte combien ?;A2
Monsieur de Cyrano n’est pas la ?;A1
En effet, cette tonne va nous jouer ce soir le rôle de Phedon.;B1
Il fit a Montfleury, messieurs, qu’il prit en haine, defense, pour un mois, de reparaître en scene.;B2
Quel est cet animal ?;A1
Montrant un gentilhomme qui va et vient dans la salle comme s’il cherchait quelqu’un.;B1
N’est-ce pas que cet homme est des moins ordinaires ?;B2
Et quel aspect heteroclite que le sien !;B2
Je veux esperer qu’il n’a pas vu l’affiche !;A2
Quelle couleur, comte de Guiche ?;A1
La chose me vient d’être certifiee.;B1
Une plantation de bois sur vos epaules ?;A2
Que les marquis se taisent sur leurs bancs, ou bien je fais tater ma canne a leurs rubans !;C1
Que Montfleury s’en aille, ou bien je l’essorille et le desentripaille !;C1
Decoupez-moi cette mortadelle d’Italie !;B1
Si vous continuez, il va rendre sa lame !;B2
Voulez-vous me prêter, Monsieur, votre chapeau ?;B1
C’est scandaleux !;A1
Je vous ordonne de vous taire !;A2
Et j’adresse un defi collectif au parterre !;B2
J’inscris les noms !;A1
Approchez-vous, jeunes heros !;A2
En rang par deux, et chacun son tour prenez un biscuit !;A2
Je vais donner des numeros !;A1
Allons, qui est celui qui veut ouvrir la liste ?;B1
Le premier duelliste, je l’expedie avec les honneurs qu’on lui doit !;B2
Que tous ceux qui veulent mourir levent le doigt.;B1
La pudeur vous defend de voir ma lame nue ?;B2
Se retournant vers la scene ou Montfleury attend avec angoisse.;B1
Donc, je desire voir le theatre gueri de cette fluxion.;B2
Mes mains vont frapper trois claques, pleine lune !;B1
Qu’il revienne, s’il l’ose !;B1
Regardez-moi ce tas de feuilles !;B1
Mais a la fin, monsieur, quelle raison avez-vous de haïr Montfleury ?;B1
J’ai deux raisons, dont chaque est suffisante seule.;B1
Le vers qu’il faut laisser s’envoler !;B2
Les vers du vieux Baro valant moins que zero, j’interromps sans remords !;C1
Et l’argent qu’il va falloir rendre !;A2
Attrapez cette bourse au vol, et taisez-vous !;B1
Vous avez dit la seule chose intelligente !;A2
Il y avait en Westphalie, dans le chateau de M. le baron de Thunder?ten?tronckh, un jeune garcon a qui la nature avait donne les moeurs les plus douces.;B2
Sa physionomie annoncait son ame.;B1
"Il avait le jugement assez droit, avec l'esprit le plus simple ; c'est, je crois, pour cette raison qu'on le nommait Candide.";B2
Monsieur le baron etait un des plus puissants seigneurs de la Westphalie, car son chateau avait une porte et des fenêtres.;B1
Sa grande salle même etait ornee d'une tapisserie.;B1
"Tous les chiens de ses basses?cours composaient une meute dans le besoin ; ses palefreniers etaient ses piqueurs ; le vicaire du village etait son grand aumônier.";C1
Ils l'appelaient tous monseigneur, et ils riaient quand il faisait des contes.;B2
Madame la baronne, qui pesait environ trois cent cinquante livres, s'attirait par la une tres grande consideration, et faisait les honneurs de la maison avec une dignite qui la rendait encore plus respectable.;C1
Sa fille Cunegonde, agee de dix?huit ans, etait haute en couleur, fraîche, grasse, appetissante.;B1
Le fils du baron paraissait en tout digne de son pere.;B2
Le precepteur Pangloss etait l'oracle de la maison, et le petit Candide ecoutait ses lecons avec toute la bonne foi de son age et de son caractere.;B2
Il prouvait admirablement qu'il n'y a point d'effet sans cause, et que, dans ce meilleur des mondes possibles, le chateau de monseigneur le baron etait le plus beau des chateaux et madame la meilleure des baronnes possibles.;B2
Remarquez bien que les nez ont ete faits pour porter des lunettes, aussi avons?nous des lunettes.;B1
Les jambes sont visiblement instituees pour être chaussees, et nous avons des chaussures.;B2
Un jour, Cunegonde, en se promenant aupres du chateau, dans le petit bois qu'on appelait parc, vit entre des broussailles le docteur Pangloss qui donnait une lecon de physique experimentale a la femme de chambre de sa mere, petite brune tres jolie et tres docile.;C1
"Elle rencontra Candide en revenant au chateau, et rougit ; Candide rougit aussi ; elle lui dit bonjour d'une voix entrecoupee, et Candide lui parla sans savoir ce qu'il disait.";B2
Il s'arrêta tristement a la porte d'un cabaret.;B1
Messieurs, leur dit Candide avec une modestie charmante, vous me faites beaucoup d'honneur, mais je n'ai pas de quoi payer mon ecot.;B2
Non, dit l'un de ces messieurs, nous vous demandons si vous n'aimez pas tendrement le roi des Bulgares.;B1
Point du tout, dit?il, car je ne l'ai jamais vu.;B2
Candide, tout stupefait, ne demêlait pas encore trop bien comment il etait un heros.;B2
Il s'avisa un beau jour de printemps de s'aller promener, marchant tout droit devant lui, croyant que c'etait un privilege de l'espece humaine, comme de l'espece animale, de se servir de ses jambes a son plaisir.;C1
Il n'eut pas fait deux lieues que voila quatre autres heros de six pieds qui l'atteignent, qui le lient, qui le menent dans un cachot.;B2
On lui demanda juridiquement ce qu'il aimait le mieux d'être fustige trente?six fois par tout le regiment, ou de recevoir a la fois douze balles de plomb dans la cervelle.;B2
"Le regiment etait compose de deux mille hommes ; cela lui composa quatre mille coups de baguette, qui, depuis la nuque du cou jusqu'au cul, lui decouvrirent les muscles et les nerfs.";B2
Comme on allait proceder a la troisieme course, Candide, n'en pouvant plus, demanda en grace qu'on voulût bien avoir la bonte de lui casser la tête.;B2
Rien n'etait si beau, si leste, si brillant, si bien ordonne que les deux armees.;B1
Les trompettes, les fifres, les hautbois, les tambours, les canons, formaient une harmonie telle qu'il n'y en eut jamais en enfer.;B2
"Les canons renverserent d'abord a peu pres six mille hommes de chaque côte ; ensuite la mousqueterie ôta du meilleur des mondes environ neuf a dix mille coquins qui en infectaient la surface.";C1
La baïonnette fut aussi la raison suffisante de la mort de quelques milliers d'hommes.;B2
Enfin, tandis que les deux rois faisaient chanter des Te Deum chacun dans son camp, il prit le parti d'aller raisonner ailleurs des effets et des causes.;B2
Des cervelles etaient repandues sur la terre a côte de bras et de jambes coupes.;B1
Candide s'enfuit au plus vite dans un autre village : il appartenait a des Bulgares, et des heros abares l'avaient traite de même.;B1
Il demanda l'aumône a plusieurs graves personnages, qui lui repondirent tous que, s'il continuait a faire ce metier, on l'enfermerait dans une maison de correction pour lui apprendre a vivre.;C1
Il s'adressa ensuite a un homme qui venait de parler tout seul une heure de suite sur la charite dans une grande assemblee.;B2
Il n'y a point d'effet sans cause, repondit modestement Candide, tout est enchaîne necessairement et arrange pour le mieux.;C1
"Il a fallu que je fusse chasse d'aupres de Mlle Cunegonde, que j'aie passe par les baguettes, et il faut que je demande mon pain jusqu'a ce que je puisse en gagner ; tout cela ne pouvait être autrement.";C2
Tu ne merites pas d'en manger, dit l'autre.;A2
Un homme qui n'avait point ete baptise, un bon anabaptiste, nomme Jacques, vit la maniere cruelle et ignominieuse dont on traitait ainsi un de ses freres, un être a deux pieds sans plumes, qui avait une ame.;C2
Le lendemain, en se promenant, il rencontra un gueux tout couvert de pustules, les yeux morts, le bout du nez ronge, la bouche de travers, les dents noires, et parlant de la gorge, tourmente d'une toux violente et crachant une dent a chaque effort.;C1
Candide, plus emu encore de compassion que d'horreur, donna a cet epouvantable gueux les deux florins qu'il avait recus de son honnête anabaptiste Jacques.;C1
Elle est arrivee le jour de la rentree, le 5 septembre.;A2
Tout le monde la regardait, parce que dans la classe on est ensemble depuis l’ecole primaire, alors, evidemment, l’arrivee d’un nouveau ou d’une nouvelle, c’est un evenement.;B1
Les premiers jours, nous ne lui avons rien dit et elle n’a parle a personne.;A2
Mais moi, je l’ai trouvee tres jolie.;A2
Elle ne ressemble a aucune des filles que je connais.;A2
"Elle n’est pas tres grande, elle est toute mince, elle a la peau brune et de tres 
grands yeux clairs remplis de lumiere.";A2
Mais ce qui est extraordinaire, ce sont ses cheveux !;A2
On dirait qu’elle ne les a jamais coupes, et ils forment autour de son visage comme une couronne de boucles noires.;B1
J’aime aussi beaucoup sa voix, une voix un peu grave, qu’on n’attend pas chez une fille aussi frêle;B1
Mais sa voix, on ne l’a pas beaucoup entendue.;A2
Les filles de la classe, il n’y a que la mode qui les interesse, et les histoires de garcons.;A2
Melanie aime Benoît, qui aime Sonia, qui aime Nicolas, qui aime Melanie.;A1
On n’en sort pas, et moi, j’en ai marre.;A2
Elle, la mode, elle l’invente, et les garcons, elle ne s’en occupe pas.;B1
Elle a toujours ses affaires, ce n’est pas le genre de fille a demander sans cesse un taille-crayon, une feuille double, comme certains que je connais.;B1
Une fille super, quoi ! J’ai tout de suite eu envie de devenir son ami.;A2
Mais devenir l’ami d’une fille super, c’est difficile !;A2
J’y arrive a peine maintenant, et nous sommes presque a Noël.;A2
Nous nous voyons assez souvent, elle vient même parfois a la maison et nous faisons nos devoirs ensemble.;B1
Je l’aide en francais et elle me donne un coup de main en anglais, parce que ce n’est pas ma matiere preferee …;B1
Ou alors, on joue sur mon ordinateur.;A2
Ou encore, ce qu’elle prefere : je lui lis des histoires.;A2
Je vous ai dit, c’est une fille bizarre.;A2
Elle aime les contes et les histoires fantastiques, et de temps en temps, je me dis qu’elle sort tout droit d’une de ces histoires-la.;B1
Moi, je ne vais jamais chez elle.;A1
Je sais qu’elle vit seule avec son pere, mais je ne lui ai jamais demande pourquoi.;B1
Je ne sais pas ou est sa mere, ni même si elle vit encore, je ne sais pas si elle a des freres et des sœurs quelque part, je ne sais pas ce que fait son pere.;B1
Je sais qu’elle est souvent seule a la maison, et que le soir il rentre tres tard.;A2
Elle reste tous les jours a la cantine, et j’ai entendu les autres se moquer d’elle, parce qu’elle ne mange presque rien, des fruits, du pain.;B1
Et depuis que nous sommes amis : « Elle vit d’amour et d’eau fraîche », ricanent certains dans son dos.;B1
"Je lui apporte parfois des bonbons, du chocolat ; au debut, elle refusait toujours, maintenant, elle les prend, avec un sourire.";B1
Je crois que c’est surtout pour me faire plaisir.;A2
C’est comme ca, d’ailleurs, que nous sommes devenus amis.;A2
Un jour, en sport, je prends le ballon sur le nez.;A2
evidemment, mes lunettes sont par terre, et moi, sans mes lunettes, je n’y vois rien, mais alors, rien du tout !;B1
Et soudain elle est devant moi, mes lunettes a la main.;A2
Alors, je les ai remises et j’ai vu son sourire.;A2
C’etait presque la premiere fois, parce qu’elle ne sourit pas tres souvent.;B1
Mais surtout, ce sourire-la etait specialement pour moi.;A2
Au cours suivant, elle est venue s’asseoir a côte de moi.;A2
Je suis alle voir ou elle habite, sans rien dire a personne.;A2
C’est un immeuble gris, pas tres loin de l’ecole et de chez moi.;A2
J’ai vu son nom sur la boîte aux lettres.;A2
J’ai oublie de vous dire : elle s’appelle Sarah.;A2
Ce matin, Sarah est triste.;A1
Je veux dire, vraiment triste.;A1
On dirait qu’elle a pleure ou qu’elle va pleurer.;A2
Pourtant, comme d’habitude, elle est attentive et calme.;A2
Le cours de maths, lui, est beaucoup plus ennuyeux que d’habitude.;A2
Ou alors, c’est moi qui ai plus de mal a le supporter parce que j’ai envie de savoir ce qui arrive a Sarah.;B1
Heureusement, la recreation arrive vite.;A2
Je vois bien que tu es triste, tu ne dis rien, tu ne souris pas.;A2
Je ne peux rien te dire, Victor.;A1
Je suis desolee.;A1
Elle a les yeux pleins de larmes, et quand je m’approche d’elle pour lui prendre la main, elle recule.;B1
Cette annee-la, l’hiver est arrive d’un seul coup avec ses vents, ses brouillards et ses tempêtes de neige.;B1
Le ciel etait noir.;A2
Le jour ressemblait a la nuit.;A2
Les humains avaient froid, ils avaient faim aussi.;A2
La tribu descendait des Monts Brumeux.;A2
Elle allait vers le sud ou il faisait moins froid.;A2
Les hommes marchaient devant, le vieux Zahor en tête.;A2
Ensuite venaient les femmes.;A2
Elles portaient leurs enfants dans les bras.;A2
Derriere le groupe des femmes avancait Saha, la gardienne du feu.;A2
La jeune fille portait une petite cage de fer ou elle gardait precieusement la flamme.;B1
Elle la nourrissait d’herbes seches et de petits morceaux de bois.;A2
Thor, le guerrier courageux, fermait la marche, sa lance de fer dans la main droite a cause des ours sauvages et des loups affames …;B1
La tribu s’arrête un moment pour se reposer en bas des Monts Brumeux. Zahor, le vieux chef, leur montre la grande plaine qu’ils doivent traverser : elle est immense !;B1
Tous tremblent de froid et de fatigue.;A2
Mais il faut continuer.;A2
Cette fois, les femmes et les enfants marchent au milieu du groupe.;A2
Les hommes les entourent.;A1
Thom et sa mere marchent loin derriere le groupe, en compagnie des chiens sauvages.;A2
Quand ils s’approchent trop pres de la tribu, les femmes leur jettent des pierres et les hommes les chassent.;B1
Dans la tribu, on n’aime pas les enfants sans pere, on dit que ce sont les enfants des mauvais esprits.;B1
Surtout quand ils sont grands, comme Thom.;A2
Les enfants grands sont maudits par les dieux, c’est le vieux Zahor qui l’a dit.;B1
Et le vieux chef a toujours raison, car c’est le seul qui parle aux dieux.;B1
La mere de Thom est fatiguee par la longue marche.;A2
Elle a beaucoup de mal a avancer dans la neige.;A2
Son fils l’aide, mais il est encore tres jeune : il n’a que treize ans, ce n’est pas encore un guerrier.;A2
La tribu s’abrite pres d’une grande roche, au milieu de la plaine.;A2
La mere et son fils s’installent loin des autres.;A2
Les femmes ont prepare un foyer d’herbes seches et de bois.;A2
Saha ouvre la petite cage de fer et souffle sur la flamme en chantant doucement une priere aux dieux.;A2
La flamme monte vers le ciel et rechauffe les cœurs et les corps fatigues.;A2
Thor, le guerrier courageux, est parti seul dans la neige.;A2
Une heure plus tard, il donne a la tribu une chevre sauvage qu’il vient de tuer.;A2
Les hommes la decoupent et la placent au-dessus de la flamme.;A2
La tribu a maintenant a manger.;A2
Tous peuvent reprendre des forces apres un long jour de marche.;A2
La chevre, en cuisant, a une odeur delicieuse.;A2
De loin, Thom observe les hommes decouper l’animal et distribuer des morceaux de viande a chacun selon son age et sa force.;B1
Des grosses parts pour les guerriers et pour Zahor, des petites parts pour les femmes et les enfants et enfin les os pour les chiens…;A2
Et Thom a faim.;A1
Car l’enfant grand n’a pas le droit de partager la nourriture des hommes.;A2
a la fin du repas, il doit se battre avec un chien pour ramener a sa mere un os avec un peu de viande autour.;B1
Alice aime Jules.;A1
Jules aime Alice.;A1
Aujourd’hui, c’est leur mariage.;A1
Ils sont heureux.;A1
Ils vont habiter tous les deux dans un joli appartement, a Paris.;A2
Mais il y a un probleme …;A1
Alice a un chien.;A1
Il s’appelle Albert et il a un an.;A1
C’est un gentil bouledogue qui aime les calins.;A2
Mais aujourd’hui, il a un peu peur.;A1
Waf, waf, je veux rentrer a la maison, chez Alice.;A1
Jules a une chatte.;A1
Elle s’appelle Folio et elle a un an.;A1
Elle ressemble a un bebe tigre, mais c’est un tigre qui a tres peur.;A2
Miaou, je veux rentrer a la maison, chez Jules.;A1
Aujourd’hui, Albert et Folio se rencontrent pour la premiere fois.;A1
Jules et Alice veulent qu’ils se disent bonjour gentiment.;A2
Mais les chiens et les chats ne s’aiment pas beaucoup …;A1
Albert et Folio sont heureux avec leurs maîtres, Jules et Alice … mais aujourd’hui, il y a un probleme.;A2
Pourquoi on ne peut pas entrer dans la chambre ?;A1
Pourquoi on ne peut pas jouer avec Jules et Alice ?;A1
Jules fait beaucoup de bruit derriere la porte.;A2
Folio est la gardienne de l’appartement.;A1
Mais que fait Jules ?;A1
Pouah, ca sent mauvais !;A1
Il y a beaucoup de desordre dans l’appartement.;A1
Albert s’amuse.;A1
Il a trouve un copain.;A1
Il est bizarre ce chien.;A1
Pourquoi il ne parle pas ?;A1
Ce matin, Jules et Alice partent tres tôt.;A1
Il fait encore nuit.;A1
Ils sont presses.;A1
Moi aussi, je veux aller me promener !;A1
Tard le soir, Jules rentre tout seul.;A1
Il est tres joyeux et il siffle.;A1
Albert, Folio, venez me faire un gros calin, je suis si heureux !;A1
Vous allez bientôt avoir une grande surprise !;A1
Albert et Folio ont surtout tres faim …;A1
Tout le monde a bien mange.;A1
Maintenant, Jules et Albert ronflent tres fort.;A1
Folio n’arrive pas a s’endormir.;A1
Mais ou est Alice ?;A1
Je suis triste sans elle.;A1
C’est peut-être un petit frere, un gentil chien comme moi …;A1
C’est peut-être une petite sœur, un gentil chat comme moi …;A1
Contrairement a d'autres tribunaux competents en matiere constitutionnelle tels que la Cour suprême des etats-Unis, le Conseil constitutionnel francais ne se situe au sommet d'aucune hierarchie de tribunaux, ni judiciaires ni administratifs.;C1
Le Conseil constitutionnel francais a donc une grande autorite sur l'ensemble des institutions francaises, mais cette autorite est limitee au champ du contrôle de constitutionnalite.;B2
Les senateurs, investis par le suffrage universel indirect de tous les droits et obligations attaches a la fonction parlementaire, sont elus pour six ans par un college electoral de plus de 160 000 elus.;C1
Les senateurs elus au scrutin majoritaire, dont le siege devient vacant pour cause de deces, d'acceptation des fonctions de membre du Conseil constitutionnel ou de Defenseur des droits ou de prolongation au-dela du delai de six mois d'une mission temporaire confiee par le Gouvernement sont remplaces par les personnes elues en même temps qu'eux a cet effet.;C2
Les senateurs elus au scrutin majoritaire qui acceptent des fonctions gouvernementales sont remplaces, jusqu'a l'expiration d'un delai d'un mois suivant la cessation de ces fonctions, par les personnes elues en même temps qu'eux a cet effet.;C1
Le senateur elu a la representation proportionnelle dont le siege devient vacant pour toute autre cause que l'acceptation de fonctions gouvernementales est remplace par le candidat figurant sur la même liste immediatement apres le dernier candidat devenu senateur conformement a l'ordre de cette liste.;C1
Le caractere temporaire du remplacement pour cause d'acceptation de fonctions gouvernementales s'applique au dernier candidat devenu senateur conformement a l'ordre de la liste.;C1
Un arrête prefectoral indique pour chaque commune le mode de scrutin ainsi que le nombre des delegues et suppleants a elire.;C1
a l’issue de l’election, un compte de campagne retracant l’ensemble des recettes et des depenses electorales est depose aupres de la Commission nationale des comptes de campagne et des financements politiques qui en contrôlera la veracite.;C1
Le montant des depenses electorales est plafonne, sous reserve d’amenagements pour les circonscriptions particulieres.;C1
Soulignant, en preambule, la maniere tres differente dont le projet avait ete aborde par l'Assemblee nationale et par le Senat, M. Bernard Roman, rapporteur pour l'Assemblee nationale a considere que cette divergence de fond etait peu propice a la poursuite d'une discussion fructueuse en commission mixte paritaire.;C2
Evoquant les conditions d'examen concomitantes au Senat du present projet de loi et des projets de loi relatifs a la limitation du cumul des mandats, il s'est eleve contre le choix du Senat de lier, par le biais d'un marchandage choquant, sa decision de retablir un seuil de 3 500 habitants pour l'application aux conseillers municipaux de la limitation du cumul des mandats, avec celle, prise par l'Assemblee nationale, dans le projet sur la parite, d'abaisser a 2 000 habitants le seuil a partir duquel les elections municipales auraient lieu au scrutin de liste majoritaire a deux tours.;C2
Observant que, a l'exception du changement de mode de scrutin pour les communes dont la population est comprise entre 2 000 et 3 500 habitants, le texte issu des travaux de l'Assemblee nationale avait recueilli une approbation presque unanime de tous les groupes de cette assemblee, le rapporteur a souhaite rappeler que la demarche suivie par les deputes, consistait a mettre en oeuvre des solutions permettant d'optimiser la presence des femmes dans la vie politique.;C1
Deplorant que le Senat ait prefere, au contraire, en rester aux dispositions initiales du projet de loi, il a conclu en constatant qu'il semblait, dans ces conditions, difficile de trouver une conciliation permettant d'aboutir a un accord en commission mixte paritaire.;C2
Il a d'ailleurs souligne que le ministre de l'Interieur n'avait pu que se satisfaire du soutien actif du Senat a son projet de loi, contrairement a la position critique adoptee par l'Assemblee nationale.;C1
Il a, en revanche, regrette que l'engagement pris par le Premier ministre, lors du debat constitutionnel, sur les modes de scrutin n'ait pas ete respecte.;C1
Il a donc rejete tout changement de mode de scrutin qui introduirait des mecanismes partisans et abstraits dans ces collectivites ou l'appartenance politique des elus est fort peu prise en compte.;C1
Reaffirmant que le Senat ne s'etait livre a aucun chantage contrairement aux allegations du rapporteur pour l'Assemblee nationale, il a, au contraire, affirme que la position de la Haute Assemblee relevait d'une conception coherente et constante de la societe.;C1
Rappelant que les propos du Premier ministre tenus lors du Congres sur la revision constitutionnelle relative a la parite portaient sur les modes de scrutin de maniere generale, tout en insistant particulierement sur les elections legislatives, M. Guy Cabanel, rapporteur pour le Senat, a regrette que le texte adopte par l'Assemblee nationale ne demente ces propos en procedant a une manipulation du mode de scrutin municipal.;C2
Bien que, en ce sens, differentes reactions synthetiques puissent avoir lieu independamment des êtres vivants, il est d'usage de ne designer par ce mot que la capacite des vegetaux chlorophylliens a assimiler le dioxyde de carbone ou gaz carbonique, a la lumiere, avec formation de substances organiques.;C1
Plus precisement, la photosynthese comprend l'utilisation de l'energie lumineuse pour la reduction du dioxyde de carbone par l'eau, donneur d'hydrogene, avec synthese de glucides et liberation d'oxygene.;C1
Cette reaction est realisee dans des organites intracellulaires specialises, les chloroplastes, porteurs de pigments photorecepteurs, tels que les chlorophylles, les carotenoïdes.;C1
La reduction du dioxyde de carbone par l'eau necessite un apport d'energie assez eleve.;B2
L'originalite du mecanisme est d'utiliser des photons et de les convertir en energie chimique qui se retrouve dans l'energie de liaison des atomes de carbone et d'hydrogene dans les glucides formes.;C1
Huit photons au moins sont necessaires pour permettre la reduction d'une molecule de dioxyde de carbone par l'eau.;B2
Les Cyanobacteries se distinguent des Bacteries par la presence de chlorophylle A et de pigments accessoires hydrosolubles, les phycobilines rouge et bleue.;C1
Certaines especes presentent une adaptation chromatique a la vie en eau profonde grace a des variations du rapport phycoerythrine : phycocyanine.;C1
Par ressource, dans la perspective de ce travail, j’entends ainsi le processus relationnel et variable, entre un objet et des usagers, lesquels en retirent des biens et services varies.;C1
Le gene est une ressource pour le processus metabolique concerne et les contraintes qui sont, de ce point de vue, pertinentes sont celles de la chimie, de la physique et de la biologie.;C1
De Buren exprime ces differents points de vue sur la ressource a travers une triple definition du concept : la ressource institutionnelle, telle qu’elle percut au travers des regles qui encadrent ses usages, la ressource physique percue au travers des fonctions qu’elle remplit et finalement la ressource sociale, lorsqu’elle est envisagee au travers des relations, qui se nouent entre ses usages.;C2
Grace aux progres realises dans le domaine des biotechnologies depuis les annees 1970, des usages a un niveau plus « fondamental » sont possibles, a l’echelle non seulement infracellulaire, mais infranucleaire des organismes : les usages directs de leurs genomes.;C2
Les methodes de la biologie synthetique, qui aboutissent a la creation artificielle de systemes ou de composants biologiques en ajoutant des sequences artificielles d’ADN a un « chassis » genetique naturel minimal ou en assemblant des segments d’ADN artificiel pour creer de toutes pieces un systeme fonctionnel.;C2
Par exemple au moyen de la technique de l’haplodiploïdisation, qui permet de fixer plus rapidement les caracteres genotypiques que par la selection classique.;C2
L’haplodiploïdisation, en revanche, permet d’obtenir directement une lignee haploïde et donc pure, presentant les traits desires.;C2
Cette lignee est ensuite diploïdee au moyen d’un traitement chimique, pour la rendre fertile.;C2
Auparavant, la duplication de l’ADN se faisait par clonage moleculaire : la sequence d’interêt etait inseree dans le genome d’une bacterie et l’on se servait du taux de croissance eleve du micro-organisme pour obtenir autant de clones de la sequence d’ADN.;C2
En plus de son rôle, si important pour la recherche en genetique et en biologie moleculaire, de « pourvoyeur » de quantite illimitee d’ADN a partir d’un infime echantillon, la PCR s’averera un outil indispensable notamment au diagnostic de plusieurs maladies et a la genetique forensique.;C2
Dans ces cas, qui representent l’exception plutôt que la regle en Suisse, l’autorite cantonale s’est dotee de plans directeurs tres precis qualifiables de plans de « pre?affectation », lesquels limitent fortement la marge de manœuvre communale car ils quantifient la surface du territoire d’urbanisation a l’hectare pres.;C2
Le deuxieme profil represente les cantons qui ont des instruments de contingentement spatial a l’apparence similaires a ceux du premier groupe, mais qui sont utilises avec une precision moindre et ouvrant plus facilement la porte a des exceptions et a des modifications des limites des zones constructibles.;C2
Il y a la un plus grand equilibre entre le rôle que les communes jouent a travers la planification d’affectation et celui des cantons qui limitent les « exces » en termes d’utilisation du sol a travers une planification directrice plus ou moins restrictive en termes de nouvelles extensions urbaines.;C2
Un aspect qui differencie ces deux premiers profils cantonaux des autres, c’est le caractere de « planification positive » qu’ont ces instruments de contingentement spatial : ils indiquent un objectif, un etat souhaitable en termes d’extension maximale des surfaces urbanisees a un horizon temporel donne.;C2
Dans d’autres cas il s’agit de limites relatives, basees sur un taux de croissance demographique de reference, valables la aussi uniquement hors centres ou ponderees en fonction du degre de centralite.;C2
Celle?ci est idealement reduite dans la mesure du possible a travers la definition de criteres de classification clairs et par la triangulation des points de vue des experts du domaine.;B2
C’est dans cette logique que la construction de l’indice a ete discutee dans un premier temps avec l’auteur de l’analyse originale, analyse qui n’etait pas concue au depart dans le but de creer un indicateur categoriel ordinal, et qui a dû pour cela être affinee.;C2
La premiere limite est que les instruments de contingentement spatial pris en compte donnent une idee de la maîtrise « potentielle » de l’urbanisation, maîtrise derivant des possibilites fournies par le cadre legal et strategique dont chaque canton s’est dote.;C2
La deuxieme limite de l’indicateur est liee au fait que l’accent est mis sur les aspects substantiels des politiques cantonales d’amenagement du territoire en matiere de maîtrise de l’urbanisation, et moins sur les aspects proceduraux.;C2
Il apparait donc que l’accent mis sur la presence et la nature d’instruments de contingentement spatial risque de cacher, dans les cas d’Argovie et Soleure, la facilite procedurale avec laquelle le territoire d’urbanisation indique dans le plan directeur peut être modifie.;C2
Cet indice, base sur la formule de Herfindahl?Hirschmann utilisee dans le domaine de l’economie comme mesure de la concentration du marche, represente dans notre cas le degre de fragmentation, ou vice?versa de consolidation, de la structure institutionnelle des cantons.;C2
Des variations significatives de cet indice sur une periode inferieure a plusieurs decennies sont peu probables en l’absence de reformes territoriales consequentes, ce qui a ete rarement le cas en Suisse apres 2000 en comparaison internationale.;C2
L’analyse des valeurs de l’indice de consolidation institutionnelle montre egalement le caractere tres fragmente du maillage communal suisse en comparaison europeenne.;C2
Cependant, au vu de la grande inertie liee au developpement urbain et aux cycles d’amenagement du territoire, cela n’affaiblit pas la validite de l’analyse.;C2
De plus, l’evolution dans le temps des phenomenes engendre davantage des changements absolus dans les donnees que des changements relatifs impliquant des modifications du classement des cantons, aspect plus important dans une demarche de comparaison transversale comme la nôtre.;C2
Je vais a la gare.;A1
Nous allons a la plage.;A1
Je mange a la cantine.;A1
